year,cpt_hcpcs,work_rvu,pe_rvu_facility,pe_rvu_nonfacility,mp_rvu,status_indicator,global_days
2026,25020,5.91,14.56,14.56,1.14,A,090
2026,25023,13.48,21.62,21.62,2.74,A,090
2026,25024,10.52,9.05,9.05,2.19,A,090
2026,25025,17.49,12.45,12.45,3.72,A,090
2026,25028,5.26,14.27,14.27,1.07,A,090
2026,25031,4.15,5.86,5.86,0.89,A,090
2026,25035,7.46,7.82,7.82,1.59,A,090
2026,25040,7.31,6.95,6.95,1.45,A,090
2026,25065,1.99,2.10,5.57,0.28,A,010
2026,25066,4.16,5.75,5.75,0.82,A,090
2026,25071,5.76,5.07,5.07,1.28,A,090
2026,25073,6.95,6.79,6.79,1.47,A,090
2026,25075,3.86,4.51,11.87,0.81,A,090
2026,25076,6.57,6.83,6.83,1.30,A,090
2026,25077,12.61,8.90,8.90,3.36,A,090
2026,25078,17.25,11.26,11.26,3.89,A,090
2026,25085,5.50,6.20,6.20,1.06,A,090
2026,25100,3.92,5.63,5.63,0.84,A,090
2026,25101,4.71,6.11,6.11,0.92,A,090
2026,25105,5.87,6.89,6.89,1.14,A,090
2026,25107,7.51,8.64,8.64,1.45,A,090
2026,25109,6.77,7.09,7.09,1.29,A,090
2026,25110,3.94,5.39,5.39,0.78,A,090
2026,25111,3.44,5.51,5.51,0.66,A,090
2026,25112,4.55,5.86,5.86,0.88,A,090
2026,25115,9.84,9.34,9.34,1.88,A,090
2026,25116,7.37,8.32,8.32,1.41,A,090
2026,25118,4.40,5.83,5.83,0.84,A,090
2026,25119,6.05,7.22,7.22,1.30,A,090
2026,25120,6.11,6.92,6.92,1.20,A,090
2026,25125,7.48,8.02,8.02,1.59,A,090
2026,25126,7.55,8.04,8.04,1.61,A,090
2026,25130,5.29,6.60,6.60,1.01,A,090
2026,25135,6.90,7.83,7.83,1.47,A,090
2026,25136,5.99,7.20,7.20,1.28,A,090
2026,25145,6.38,7.32,7.32,1.34,A,090
2026,25150,7.20,7.37,7.37,1.44,A,090
2026,25151,7.49,7.40,7.40,1.45,A,090
2026,25170,21.65,13.55,13.55,4.61,A,090
2026,25210,5.97,6.87,6.87,1.15,A,090
2026,25215,7.94,7.85,7.85,1.51,A,090
2026,25230,5.24,6.12,6.12,1.02,A,090
2026,25240,5.18,6.10,6.10,1.01,A,090
2026,25246,1.41,0.29,4.07,0.14,A,000
2026,25248,5.18,5.92,5.92,1.12,A,090
2026,25250,6.60,7.38,7.38,1.40,A,090
2026,25251,9.57,8.67,8.67,2.05,A,090
2026,25259,3.94,8.36,8.36,0.79,A,090
2026,25260,7.84,8.59,8.59,1.51,A,090
2026,25263,7.84,8.69,8.69,1.67,A,090
2026,25265,9.85,8.91,8.91,1.84,A,090
2026,25270,6.02,6.89,6.89,1.19,A,090
2026,25272,7.03,7.53,7.53,1.48,A,090
2026,25274,8.72,8.08,8.08,1.64,A,090
2026,25275,8.74,8.28,8.28,1.66,A,090
2026,25280,7.21,7.32,7.32,1.41,A,090
2026,25290,5.29,6.11,6.11,1.01,A,090
2026,25295,6.55,7.07,7.07,1.26,A,090
2026,25300,8.79,8.99,8.99,1.87,A,090
2026,25301,8.38,7.93,7.93,1.63,A,090
2026,25310,8.78,9.56,9.56,1.67,A,090
2026,25312,9.57,8.43,8.43,1.88,A,090
2026,25315,10.41,8.96,8.96,2.21,A,090
2026,25316,12.58,10.21,10.21,2.68,A,090
2026,25320,12.43,12.93,12.93,2.41,A,090
2026,25332,11.45,9.53,9.53,2.22,A,090
2026,25335,13.06,10.36,10.36,2.77,A,090
2026,25337,11.44,11.17,11.17,2.19,A,090
2026,25350,8.86,8.19,8.19,1.72,A,090
2026,25355,10.27,9.05,9.05,2.19,A,090
2026,25360,8.52,8.07,8.07,1.67,A,090
2026,25365,12.59,10.21,10.21,2.68,A,090
2026,25370,13.75,11.48,11.48,2.93,A,090
2026,25375,13.21,10.41,10.41,2.82,A,090
2026,25390,10.43,8.67,8.67,2.00,A,090
2026,25391,13.92,10.63,10.63,2.97,A,090
2026,25392,14.22,10.72,10.72,3.03,A,090
2026,25393,16.15,11.34,11.34,3.44,A,090
2026,25394,10.58,9.19,9.19,2.25,A,090
2026,25400,11.00,8.91,8.91,2.16,A,090
2026,25405,14.63,10.62,10.62,2.87,A,090
2026,25415,13.46,10.48,10.48,2.87,A,090
2026,25420,16.61,11.84,11.84,3.54,A,090
2026,25425,13.38,10.45,10.45,2.85,A,090
2026,25426,16.04,11.30,11.30,3.41,A,090
2026,25430,9.47,9.33,9.33,2.02,A,090
2026,25431,10.62,9.24,9.24,2.26,A,090
2026,25440,10.41,8.69,8.69,2.00,A,090
2026,25441,12.96,10.31,10.31,2.75,A,090
2026,25442,10.84,9.28,9.28,2.05,A,090
2026,25443,10.39,9.49,9.49,2.20,A,090
2026,25444,11.13,9.46,9.46,2.15,A,090
2026,25445,9.63,8.39,8.39,1.86,A,090
2026,25446,16.87,11.34,11.34,3.28,A,090
2026,25447,10.24,10.07,10.07,1.96,A,090
2026,25448,11.55,10.78,10.78,2.20,A,090
2026,25449,14.57,10.53,10.53,2.81,A,090
2026,25450,7.86,8.14,8.14,1.67,A,090
2026,25455,9.47,9.21,9.21,2.02,A,090
2026,25490,9.49,8.81,8.81,2.02,A,090
2026,25491,9.90,8.79,8.79,2.11,A,090
2026,25492,12.34,10.29,10.29,2.62,A,090
2026,25500,2.54,5.12,6.73,0.51,A,090
2026,25505,5.31,8.18,11.16,1.20,A,090
2026,25515,8.58,8.66,8.66,1.74,A,090
2026,25520,6.34,8.25,11.38,1.34,A,090
2026,25525,10.29,9.71,9.71,2.06,A,090
2026,25526,12.82,11.25,11.25,2.73,A,090
2026,25530,2.18,4.99,6.42,0.44,A,090
2026,25535,5.23,7.26,10.10,1.08,A,090
2026,25545,7.74,8.51,8.51,1.56,A,090
2026,25560,2.53,5.15,6.90,0.51,A,090
2026,25565,5.70,8.25,11.66,1.31,A,090
2026,25574,8.58,8.86,8.86,1.75,A,090
2026,25575,11.98,10.86,10.86,2.48,A,090
2026,25600,2.71,6.98,8.28,0.55,A,090
