effective_start,effective_end,cpt_hcpcs,modifier,allowed_amount,source_code,source_description,tos,tos_desc,note_code_1,note_code_2,note_code_3,last_pricing_review_date
2023-06-01,,12044,,216.80,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12045,,216.80,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12046,,216.80,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12047,,709.01,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12051,,143.08,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12052,,143.08,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12053,,143.08,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12054,,143.08,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12055,,143.08,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
2023-06-01,,12056,,143.08,PRCR405C,AMBULATORY SURGICAL CENTER (ASC) / HOSPITAL - BASED AMBULATORY SURGICAL CENTER (HASC),F,AMBULATORY SURGICAL CENTER,,,,2023-06-01
